Comment,Designator,Footprint,LCSC,Quantity
0.25A,F1,Fuse_0603_1608Metric,C151137,1
100n,"C1,C10,C14,C15,C16,C17,C18,C19,C4,C5,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,11
10k,"R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,2
10u,C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C50430,1
15p,"C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C63339,2
1k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,1
1k,"R15,R16,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
1u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
22u,"C3,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,2
3.3u,L1,L_Taiyo-Yuden_NR-40xx_HandSoldering,C42411119,1
33,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634,1
4.7u,"C11,C12,C13",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,3
4K7,"R17,R18,R19,R20",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,4
560,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C28636,1
5k1,"R3,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
5k6,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382,1
80,"R21,R22,R23",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C137474,3
820,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17837,1
Blue LED,D1,LED_0603_1608Metric,C2288,1
Buzzer,BZ2,Buzzer_Murata_PKMCS0909E,C910763,1
Conn_01x02,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,1
Conn_01x03,J3,PinSocket_1x03_P2.54mm_Vertical,C146243,1
Conn_01x04,J4,PinSocket_1x04_P2.54mm_Vertical,C5116483,1
D_Schottky,D2,D_SMA,C2909963,1
Green LED,"D4,D5",LED_0603_1608Metric,C2297,2
MMBT3904,Q1,SOT-23,C20526,1
ON_SW,SW4,SW-TH_3P-L8.6-W4.5-P2.60,C2857672,1
PWR_SELECT,SW1,SW-TH_KH-SS22D07-VG4H,C5274482,1
RP2354A,U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,C41378174,1
SMAJ8.5A,D3,D_SMA,C49424014,1
USBLC6-2SC6,U2,SOT-23-6,C7519,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_GCT_USB4085,C7095263,1
Voltage Regulator (MCP1755S-3302E/DB),U3,SOT-23-3,C638611,1
W25Q32JVSSIQ,U1,SOIC-8_5.3x5.3mm_P1.27mm,C179173,1
WS2812B,"D6,D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,2
27,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
360,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
27,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
LED,D8,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,1
LED,D10,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,1
LED,D9,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,,1
