Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ2,Buzzer,Buzzer_Murata_PKMCS0909E,97.0,-43.4,0.0,top
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.4175,-59.77,0.0,top
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.2275,-71.81,0.0,top
C11,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.0375,-59.77,0.0,top
C12,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.0375,-62.78,0.0,top
C13,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.0375,-65.79,0.0,top
C14,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.0375,-68.8,0.0,top
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.0375,-71.81,0.0,top
C16,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.8475,-59.77,0.0,top
C17,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.8475,-62.78,0.0,top
C18,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.8475,-65.79,0.0,top
C19,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.8475,-68.8,0.0,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.4175,-62.78,0.0,top
C20,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.8475,-71.81,0.0,top
C3,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.4175,-65.79,0.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.4175,-68.8,0.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.4175,-71.81,0.0,top
C6,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.2275,-59.77,0.0,top
C7,15p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.2275,-62.78,0.0,top
C8,15p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.2275,-65.79,0.0,top
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.2275,-68.8,0.0,top
D1,Blue LED,LED_0603_1608Metric,102.9875,-71.01,0.0,top
D10,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,101.165,-53.565,0.0,top
D2,D_Schottky,D_SMA,112.99,-41.615,0.0,top
D3,SMAJ8.5A,D_SMA,112.99,-46.165,0.0,top
D4,Green LED,LED_0603_1608Metric,102.9875,-73.6,0.0,top
D5,Green LED,LED_0603_1608Metric,102.9875,-76.19,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.6,-75.0,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.85,-68.75,0.0,top
